stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,AE,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.961535832152139,23,0.04075935110449791,0.9392361111111112,0.9397753602839085,0.939236111111111,0.9392459460170752
final,AE,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.961535832152139,23,0.04075935110449791,0.8159722222222222,0.8627289138598473,0.8159722222222222,0.8232564293170354
final,AE,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.961535832152139,23,0.04075935110449791,0.5069444444444444,0.7351079466214553,0.5069444444444444,0.5156695180796276
