,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,133,3,2,6
F1_BFPT进汽不足,96,46,1,1
F2_BFPT排汽真空恶化,86,3,49,6
F3_BFPT调速异常,75,1,0,68
