,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,129,6,3,6
F1_BFPT进汽不足,22,122,0,0
F2_BFPT排汽真空恶化,17,1,126,0
F3_BFPT调速异常,51,0,0,93
