,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,133,5,1,5
F1_BFPT进汽不足,94,50,0,0
F2_BFPT排汽真空恶化,102,3,38,1
F3_BFPT调速异常,95,1,0,48
