,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,129,6,3,6
F1_BFPT进汽不足,90,53,1,0
F2_BFPT排汽真空恶化,82,5,54,3
F3_BFPT调速异常,87,1,0,56
