,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,133,3,2,6
F1_BFPT进汽不足,24,120,0,0
F2_BFPT排汽真空恶化,19,1,123,1
F3_BFPT调速异常,23,0,0,121
