epoch,full_train_loss,lr
1,0.6171478499997678,0.001
2,0.46453239215981573,0.001
3,0.3889974632635367,0.001
4,0.34351732820478803,0.001
5,0.3032584350137541,0.001
6,0.2640071148654056,0.001
7,0.22043799098034783,0.001
8,0.18721064708686136,0.001
9,0.1678879675139658,0.001
10,0.1524232406770293,0.001
11,0.14309225955354402,0.001
12,0.13613754839012218,0.001
13,0.12971524946168025,0.001
14,0.12546150095454517,0.001
15,0.1210061286233287,0.001
16,0.11740418494332738,0.001
17,0.1148456283998777,0.001
18,0.11135739651376782,0.001
19,0.10820282508149989,0.001
20,0.10602264628898875,0.001
21,0.10450259949815739,0.001
22,0.10201020723321969,0.001
23,0.10156915440725348,0.001
24,0.09908209818381356,0.001
25,0.09613356235369394,0.001
26,0.09439884650003441,0.001
27,0.09352734540390051,0.001
28,0.09214099667292631,0.001
29,0.08989718451470435,0.001
30,0.08893928094149295,0.001
31,0.0876931034456063,0.001
32,0.08598111533632243,0.001
33,0.08563511772727195,0.001
34,0.0840846312857461,0.001
35,0.08311292219957869,0.001
36,0.0821629334285846,0.001
37,0.08103158386915948,0.001
38,0.08061793834095657,0.001
39,0.07949769560596445,0.001
40,0.07835429056257431,0.001
41,0.07776832638898838,0.001
42,0.07700933260220971,0.001
43,0.07631732248413942,0.001
44,0.07615022357532727,0.001
45,0.0756338773877884,0.001
46,0.07443877821748818,0.001
47,0.0742859608227942,0.001
48,0.07382475382778299,0.001
49,0.07291785629816962,0.001
50,0.07247166750737345,0.001
51,0.07224870796545803,0.001
52,0.07238893262222493,0.001
53,0.07135358074913105,0.001
54,0.07153086895714153,0.001
55,0.07146261672233162,0.001
56,0.06996446212047867,0.001
57,0.07028480544293007,0.001
58,0.06978622718475105,0.001
59,0.06915705349269004,0.001
60,0.06837849730441055,0.001
61,0.06780495991519477,0.001
62,0.06809590742556933,0.001
63,0.06794241194205772,0.001
64,0.06726593901863068,0.001
65,0.06730527544883687,0.001
66,0.0674971397553682,0.001
67,0.06647366354281001,0.001
68,0.06560583521811984,0.001
69,0.0660618163027039,0.001
70,0.06572462550841322,0.001
