epoch,train_loss,val_loss,lr
1,0.6573804152033684,0.8679661543946288,0.001
2,0.5048306372497241,0.7746734026904519,0.001
3,0.4311011491406433,0.7091302323014769,0.001
4,0.38930462659332365,0.6462243097557869,0.001
5,0.3557218517988838,0.6096623592725083,0.001
6,0.3175807388572658,0.47150786739506134,0.001
7,0.26754021174244563,0.41414748718749445,0.001
8,0.22633583501513027,0.3468665779997769,0.001
9,0.21751648786137764,0.27855494261876634,0.001
10,0.18249643616521458,0.25110047500427457,0.001
11,0.16944982468645614,0.2381896417979236,0.001
12,0.15938169316261708,0.21741563288588503,0.001
13,0.15462531585651915,0.21677044526627073,0.001
14,0.14490780129360695,0.19804048881138842,0.001
15,0.13945486578555252,0.19480935993804235,0.001
16,0.13510826453634717,0.18524178560465981,0.001
17,0.13062959432956395,0.1776104127979714,0.001
18,0.12675005498820233,0.17660467488580642,0.001
19,0.12773423837557477,0.16271651213027571,0.001
20,0.1252140232855207,0.16312252792049217,0.001
21,0.11867604969105149,0.1618929929112735,0.001
22,0.11710939274833275,0.14875932191604893,0.001
23,0.11539691060181616,0.14762163586812477,0.001
24,0.11205006230619122,0.14209262472853812,0.001
25,0.11100874407675325,0.1641338648317067,0.001
26,0.1109533279466171,0.14834640260156431,0.001
27,0.10973678408608127,0.1431737451792852,0.001
28,0.10664531724887055,0.14735293260448054,0.001
29,0.10410272128955007,0.137217546870175,0.001
30,0.10316182900653012,0.135017828718168,0.001
31,0.10153239775936426,0.13326541223482455,0.001
32,0.10066664236625836,0.14197627126354062,0.001
33,0.1030030918238584,0.15253595873101117,0.001
34,0.10050657451534532,0.12991258523779917,0.001
35,0.09649548019740087,0.13012970481833366,0.001
36,0.09768638917997356,0.14118211394575633,0.001
37,0.09547368048503654,0.12667925649037645,0.001
38,0.09420167314602712,0.1299310339912432,0.001
39,0.0934107199802054,0.12448343792462457,0.001
40,0.09199231884835078,0.1259525277026712,0.001
41,0.09254755855479158,0.12056705105250284,0.001
42,0.09180439710753398,0.12177863600047212,0.001
43,0.09000167188601874,0.11540679882650506,0.001
44,0.08830166084577704,0.12571835365469597,0.001
45,0.08991243026993849,0.1165384182102604,0.001
46,0.08830000959125442,0.1160675173480761,0.001
47,0.0860989559765595,0.12184082234286826,0.001
48,0.085310175162821,0.10947870541380965,0.001
49,0.08436710696943507,0.11827863394941913,0.001
50,0.08490455005409951,0.13422475048940477,0.001
51,0.08511755228969664,0.11371450998467397,0.001
52,0.08308101464523052,0.12968839401523816,0.001
53,0.08351453735892748,0.10577738127207648,0.001
54,0.0823364160402805,0.10493073555976833,0.001
55,0.08099269217999834,0.10429591302458009,0.001
56,0.08065919205205548,0.10372048613687629,0.001
57,0.08136387471337986,0.10316970625968828,0.001
58,0.0791407097863802,0.10488568669584789,0.001
59,0.08090237740764679,0.10025109398310587,0.001
60,0.08028888525841767,0.10085045605489652,0.001
61,0.07903174976907731,0.09799907463326302,0.001
62,0.0791036001213188,0.09821887677662994,0.001
63,0.07757032275445289,0.09670887409824215,0.001
64,0.07877701759501977,0.09813524993587303,0.001
65,0.0769792138875785,0.0978219258458647,0.001
66,0.0770264183531523,0.094777091099247,0.001
67,0.07679109906561311,0.09594598113129672,0.001
68,0.07549383090459635,0.09738578491559312,0.001
69,0.07502553645395295,0.10059897804369121,0.001
70,0.07458299436595389,0.09489452144871019,0.001
71,0.07377432127230121,0.12415024496648953,0.001
72,0.07789076654767074,0.12972908060844632,0.001
73,0.07520396591650709,0.09158948099232156,0.001
74,0.0741034149885014,0.09407506190478529,0.001
75,0.07277041452801347,0.09682444426567043,0.001
76,0.07209302776059424,0.09333446855958738,0.001
77,0.07222933230848347,0.1061885460598828,0.001
