,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,133,7,4,0
F1_H1换热能力下降,7,137,0,0
F2_H1汽侧泄漏,8,2,134,0
F3_H1水位过高,1,1,0,142
