,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,131,7,6,0
F1_H1换热能力下降,79,56,7,2
F2_H1汽侧泄漏,86,7,51,0
F3_H1水位过高,89,5,1,49
