,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,133,7,4,0
F1_H1换热能力下降,95,44,4,1
F2_H1汽侧泄漏,108,6,30,0
F3_H1水位过高,103,6,0,35
