,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,131,8,4,1
F1_H1换热能力下降,9,131,3,1
F2_H1汽侧泄漏,6,2,136,0
F3_H1水位过高,2,0,0,142
