tag,name_cn,unit
SYG1_10XAC10CP104,#1 机给水泵汽轮机排汽缸压力,MPa
SYG1_10XAC10CT111,#1 机给水泵汽轮机排汽温度 1,℃
SYG1_10XAC10CT112,#1 机给水泵汽轮机排汽温度 2,℃
SYG1_1A-SEL-SP,A 小机实际转速,-
SYG1_10XAD10CS104-C,#1 机给水泵汽轮机转速 4,-
SYG1_10XAD10CS105-C,#1 机给水泵汽轮机转速 5,-
SYG1_10XAD10CS106-C,#1 机给水泵汽轮机转速 6,-
