,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,139,3,2,0
F1_BFPT进汽不足,18,123,3,0
F2_BFPT排汽真空恶化,17,1,125,1
F3_BFPT调速异常,52,0,0,92
