,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,139,2,1,2
F1_BFPT进汽不足,15,129,0,0
F2_BFPT排汽真空恶化,34,1,107,2
F3_BFPT调速异常,39,0,0,105
