,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,139,3,2,0
F1_BFPT进汽不足,2,139,3,0
F2_BFPT排汽真空恶化,2,0,142,0
F3_BFPT调速异常,8,0,0,136
