stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,iid,0.9776536438878914,20,0.0765383392572403,0.9635416666666666,0.9652450894386377,0.9635416666666666,0.9638240849372105
final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9776536438878914,20,0.0765383392572403,0.8333333333333334,0.8859127555172901,0.8333333333333334,0.8408386572865655
final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,weak,0.9776536438878914,20,0.0765383392572403,0.3680555555555556,0.7351168568273831,0.3680555555555556,0.3203656093248947
