,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,135,6,1,2
F1_BFPT进汽不足,109,35,0,0
F2_BFPT排汽真空恶化,111,4,28,1
F3_BFPT调速异常,111,0,0,33
