stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,iid,0.9826388260947612,33,0.07513054460287094,0.9670138888888888,0.9673595146439852,0.967013888888889,0.9670525605774665
final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9826388260947612,33,0.07513054460287094,0.8385416666666666,0.8750234678097616,0.8385416666666667,0.8410110360509322
final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,weak,0.9826388260947612,33,0.07513054460287094,0.4010416666666667,0.7374153141598013,0.4010416666666667,0.3758398524555068
