,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,134,6,2,2
F1_BFPT进汽不足,11,133,0,0
F2_BFPT排汽真空恶化,7,4,133,0
F3_BFPT调速异常,21,0,0,123
