,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,135,6,1,2
F1_BFPT进汽不足,1,143,0,0
F2_BFPT排汽真空恶化,3,0,141,0
F3_BFPT调速异常,6,0,0,138
