,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,135,2,1,6
F1_BFPT进汽不足,18,124,2,0
F2_BFPT排汽真空恶化,24,1,117,2
F3_BFPT调速异常,18,0,0,126
