,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,134,6,2,2
F1_BFPT进汽不足,102,38,4,0
F2_BFPT排汽真空恶化,94,5,44,1
F3_BFPT调速异常,116,0,0,28
