test,seeds,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
iid,5,0.9474285714285713,0.005190257749881475,0.9492173841673232,0.00475853630355014,0.9474285714285713,0.005190257749881475,0.9478883764850916,0.005047854467019323
ood_profile,5,0.8077142857142856,0.019314792892749236,0.8471010814672704,0.013680472605830399,0.8077142857142856,0.01931479289274914,0.8143160189796704,0.018741313934749915
weak,5,0.22571428571428567,0.005802884574739999,0.584232262223288,0.01711690082460721,0.22571428571428567,0.005802884574739999,0.13350104235844112,0.008629084665593565
