,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,141,2,0,1
F1_CND1真空恶化,1,139,4,0
F2_CND1循环水不足,0,4,140,0
F3_CND1热井液位过高,10,1,0,133
