stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,iid,0.9774390263584941,5,0.032283615320920944,0.9600694444444444,0.9611114772807436,0.9600694444444444,0.9600950367385495
final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9774390263584941,5,0.032283615320920944,0.8402777777777778,0.8711238478262135,0.8402777777777778,0.8431897508674355
final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,weak,0.9774390263584941,5,0.032283615320920944,0.3055555555555556,0.5466546267629859,0.3055555555555555,0.21274702649216637
