,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,139,3,0,2
F1_CND1真空恶化,0,141,1,2
F2_CND1循环水不足,0,3,141,0
F3_CND1热井液位过高,4,1,0,139
