,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,139,3,0,2
F1_CND1真空恶化,120,17,0,7
F2_CND1循环水不足,108,5,16,15
F3_CND1热井液位过高,123,4,0,17
