,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,135,4,0,5
F1_CND1真空恶化,115,20,0,9
F2_CND1循环水不足,97,10,7,30
F3_CND1热井液位过高,120,5,0,19
