,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,139,3,0,2
F1_CND1真空恶化,17,124,2,1
F2_CND1循环水不足,23,7,109,5
F3_CND1热井液位过高,25,2,0,117
