,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,141,2,0,1
F1_CND1真空恶化,18,122,3,1
F2_CND1循环水不足,20,12,108,4
F3_CND1热井液位过高,29,2,0,113
