,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,141,2,0,1
F1_CND1真空恶化,131,8,0,5
F2_CND1循环水不足,116,3,12,13
F3_CND1热井液位过高,125,4,0,15
