,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,128,4,0,12
F1_CND1真空恶化,0,142,1,1
F2_CND1循环水不足,0,4,140,0
F3_CND1热井液位过高,3,1,0,140
