,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,128,4,0,12
F1_CND1真空恶化,1,139,2,2
F2_CND1循环水不足,1,3,137,3
F3_CND1热井液位过高,3,1,0,140
