,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,128,4,0,12
F1_CND1真空恶化,88,43,3,10
F2_CND1循环水不足,71,7,56,10
F3_CND1热井液位过高,114,5,0,25
