,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,135,3,0,6
F1_CND1真空恶化,91,46,1,6
F2_CND1循环水不足,79,5,52,8
F3_CND1热井液位过高,112,4,0,28
