,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,128,4,0,12
F1_CND1真空恶化,8,124,11,1
F2_CND1循环水不足,3,8,128,5
F3_CND1热井液位过高,9,1,0,134
