stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,AE,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9756692769987251,13,0.019120413810014725,0.9444444444444444,0.9463288755861019,0.9444444444444444,0.9444861560277651
final,AE,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9756692769987251,13,0.019120413810014725,0.8923611111111112,0.8931041526592247,0.8923611111111112,0.8923184128321429
final,AE,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9756692769987251,13,0.019120413810014725,0.4670138888888889,0.6424083850452287,0.46701388888888884,0.4612275180820177
