device,tag,name_cn,unit,mean,std,p95_abs,max_abs,acf_lag1,acf_lag10,acf_lag30,acf_lag60
DEA,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,0.00010527459,0.021871347,0.043368183,0.15288788,0.9740279964744957,0.7932579730226178,0.658806038743366,0.5344239743546412
H1,SYG1_10LAB61CT101,#1 高压给水加热器出口温度,℃,-0.24280736,0.59646773,1.2574829,6.2366943,0.7092946791467569,0.47981371671287465,0.3945008819321496,0.3111449013400249
