device,tag,name_cn,unit,ANN,GRU,TCN,iTransformer-small,other_best,selected
CND1,SYG1_10MAG10CL104,#1 机凝汽器 I（低压）热井液位 4,mm,0.4219932556152344,0.3776440024375915,0.3177194595336914,-0.3335028886795044,0.4219932556152344,False
CND1,SYG1_10MAG10CL104-SEL,#1 机凝汽器 I（低压）热井液位三选 - SEL,-,0.4228057861328125,0.3614734411239624,0.3359378576278686,-0.3719425201416015,0.4228057861328125,False
CND1,SYG1_10MAG10CL105,#1 机凝汽器 I（低压）热井液位 5,mm,0.4206477999687195,0.361221432685852,0.3298353552818298,-0.3289017677307129,0.4206477999687195,False
CND1,SYG1_10MAG10CL106,#1 机凝汽器 I（低压）热井液位 6,mm,0.4156829118728637,0.3383021950721741,0.3069657683372497,-0.3250918388366699,0.4156829118728637,False
CND1,SYG1_10MAG10CP101,凝汽器 1 压力 1,kPa,0.7244787216186523,0.6958663463592529,0.7002277374267578,0.0707541108131408,0.7244787216186523,False
CND1,SYG1_10MAG10CP105,凝汽器 1 压力 2,kPa,0.7251476645469666,0.6592826843261719,0.7402201890945435,0.0878055095672607,0.7402201890945435,False
CND1,SYG1_10MAG10CP106,凝汽器 1 压力 3,kPa,0.7277169823646545,0.6953259706497192,0.6831824779510498,0.1145788431167602,0.7277169823646545,False
CND1,SYG1_10MAG10CP107,凝汽器 1 压力 4,kPa,0.7302939891815186,0.6746059060096741,0.6819632053375244,0.0751225352287292,0.7302939891815186,False
CND1,SYG1_10MAG10CP108,凝汽器 1 压力 5,kPa,0.7453162670135498,0.6757875680923462,0.6652227640151978,0.1249301433563232,0.7453162670135498,False
CND1,SYG1_10MAG10CP109,凝汽器 1 压力 6,kPa,0.7264602184295654,0.7310044765472412,0.6610027551651001,0.1181750297546386,0.7264602184295654,False
CND1,SYG1_10MAG10CT101,凝汽器 1 温度 1,℃,0.5968379974365234,0.4811777472496032,0.6228109002113342,0.0202113389968872,0.6228109002113342,False
CND1,SYG1_10MAG10CT102,凝汽器 1 温度 2,℃,0.5958207845687866,0.5974020957946777,0.6021181344985962,0.0127733349800109,0.6021181344985962,False
CND1,SYG1_10MAG10CT103,凝汽器 1 温度 3,℃,0.6045641303062439,0.5407528877258301,0.627807080745697,0.0168974995613098,0.627807080745697,False
CND1,SYG1_10MAG10CT104,#1 机凝汽器 I（低压）壳侧温度,℃,0.7447681427001953,0.7021173238754272,0.7163029909133911,0.0202009677886962,0.7447681427001953,False
DEA,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,-0.9879010121027628,-1.1618026892344158,-941.2828928629557,-31.47089385986328,-0.9879010121027628,False
DEA,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,-0.2803360621134439,-0.16486712296803785,-17.62600831190745,-3.2090811729431152,-0.2803360621134439,False
DEA,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,-0.14926989873250324,-0.1447620789210001,-27.842994054158527,-1.1548463503519695,-0.14926989873250324,False
DEA,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,-0.0996158719062805,-0.10654056072235103,-31.87672034899394,-4.347838719685872,-0.0996158719062805,False
DEA,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,-0.15274258454640702,-0.3008226950963338,-33.534328619639076,-2.755509893099467,-0.15274258454640702,False
DEA,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,0.9713865121205646,0.9734699527422587,-17.75214385986328,-24.196693738301594,0.9713865121205646,True
DEA,SYG1_10LAA10CP102,#1 机除氧器压力 2,MPa,0.9665223757425944,0.9719574650128683,-43.52399126688639,-21.70649528503418,0.9665223757425944,True
DEA,SYG1_10LAA10CT101,#1 机除氧器温度 1,℃,0.961320141951243,0.9515962799390157,-48.7815270225207,-20.960811456044514,0.961320141951243,False
DEA,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,0.9515838623046875,0.9333112835884094,-65.74451502164204,-46.7063357035319,0.9515838623046875,False
H1,SYG1_10LAB61CT101,#1 高压给水加热器出口温度,℃,0.9960362116495768,0.9977107842763265,0.9938311775525411,0.9782051841417948,0.9960362116495768,True
H1,SYG1_10LAD10CL101-CAL,#1 高压加热器水位 1,mm,0.355275293191274,0.43976861238479614,0.41155709822972614,0.33635995785395306,0.41155709822972614,False
H1,SYG1_10LAD10CL102-CAL,#1 高压加热器水位 2,mm,0.3242484927177429,0.4431307911872864,0.40258429447809857,0.3110749125480652,0.40258429447809857,False
H1,SYG1_10LAD10CL103-CAL,#1 高压加热器水位 3,mm,0.45894138018290204,0.5441176692644755,0.5143844286600748,0.42056987682978314,0.5143844286600748,False
H1,SYG1_10LAD10CP101,#1 高压加热器压力,MPa,0.996224602063497,0.9974860151608785,0.995934267838796,0.9808508157730103,0.996224602063497,True
H1,SYG1_10LCH11CT101,#1 高加汽侧疏水温度,℃,0.9934961398442587,0.9970100323359171,0.9943488240242004,0.9782733718554179,0.9943488240242004,True
