device,model,tag,name_cn,unit,seeds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,tolerance_mean
CND1,TCN,SYG1_10MAG10CP105,凝汽器 1 压力 2,kPa,1,0.7402201890945435,,0.2158685949526182,,0.1858139783143997,,0.5653936123399032
CND1,TCN,SYG1_10MAG10CP106,凝汽器 1 压力 3,kPa,1,0.6831824779510498,,0.237024966554586,,0.2053685784339904,,0.4913958820668411
CND1,TCN,SYG1_10MAG10CP107,凝汽器 1 压力 4,kPa,1,0.6819632053375244,,0.2375625575019628,,0.2079577594995498,,0.4800472473770757
CND1,TCN,SYG1_10MAG10CP108,凝汽器 1 压力 5,kPa,1,0.6652227640151978,,0.2440182875249639,,0.2142235338687896,,0.4868795886698936
CND1,TCN,SYG1_10MAG10CP109,凝汽器 1 压力 6,kPa,1,0.6610027551651001,,0.245663956338693,,0.2201736867427826,,0.4041040368714825
CND1,TCN,SYG1_10MAG10CT101,凝汽器 1 温度 1,℃,1,0.6228109002113342,,1.0958292135492391,,0.8031474947929382,,0.7602427218194873
CND1,TCN,SYG1_10MAG10CT102,凝汽器 1 温度 2,℃,1,0.6021181344985962,,1.1234061288499029,,0.812645673751831,,0.7585751673344605
CND1,TCN,SYG1_10MAG10CT103,凝汽器 1 温度 3,℃,1,0.627807080745697,,1.0702540249409118,,0.8073434233665466,,0.7527850475947843
CND1,TCN,SYG1_10MAG10CT104,#1 机凝汽器 I（低压）壳侧温度,℃,1,0.7163029909133911,,0.7783188957479068,,0.684026837348938,,0.8128864904926234
CND1,iTransformer-small,SYG1_10MAG10CL104,#1 机凝汽器 I（低压）热井液位 4,mm,1,-0.3335028886795044,,81.9833580435307,,63.9670295715332,,0.1248813025453366
CND1,iTransformer-small,SYG1_10MAG10CL104-SEL,#1 机凝汽器 I（低压）热井液位三选 - SEL,-,1,-0.3719425201416015,,83.1557567629115,,64.81757354736328,,
CND1,iTransformer-small,SYG1_10MAG10CL105,#1 机凝汽器 I（低压）热井液位 5,mm,1,-0.3289017677307129,,81.50408588300957,,63.59589767456055,,0.1229126618338467
CND1,iTransformer-small,SYG1_10MAG10CL106,#1 机凝汽器 I（低压）热井液位 6,mm,1,-0.3250918388366699,,81.00594656509021,,63.12446594238281,,0.1280774486416379
CND1,iTransformer-small,SYG1_10MAG10CP101,凝汽器 1 压力 1,kPa,1,0.0707541108131408,,0.40833732917673,,0.3064183592796325,,0.4598976306830025
CND1,iTransformer-small,SYG1_10MAG10CP105,凝汽器 1 压力 2,kPa,1,0.0878055095672607,,0.4045111415516884,,0.3032773435115814,,0.4632790606109734
CND1,iTransformer-small,SYG1_10MAG10CP106,凝汽器 1 压力 3,kPa,1,0.1145788431167602,,0.3962455932480451,,0.295059472322464,,0.4730991036894643
CND1,iTransformer-small,SYG1_10MAG10CP107,凝汽器 1 压力 4,kPa,1,0.0751225352287292,,0.4051178966924661,,0.3043889999389648,,0.4557519049493943
CND1,iTransformer-small,SYG1_10MAG10CP108,凝汽器 1 压力 5,kPa,1,0.1249301433563232,,0.3945170484951756,,0.295626699924469,,0.4693702665771128
CND1,iTransformer-small,SYG1_10MAG10CP109,凝汽器 1 压力 6,kPa,1,0.1181750297546386,,0.396218309248327,,0.2945718765258789,,0.4740718438057299
CND1,iTransformer-small,SYG1_10MAG10CT101,凝汽器 1 温度 1,℃,1,0.0202113389968872,,1.7661578969300644,,1.1516748666763306,,0.5812585404266161
CND1,iTransformer-small,SYG1_10MAG10CT102,凝汽器 1 温度 2,℃,1,0.0127733349800109,,1.769571602805449,,1.1561052799224854,,0.5809342937211942
CND1,iTransformer-small,SYG1_10MAG10CT103,凝汽器 1 温度 3,℃,1,0.0168974995613098,,1.7394109933729225,,1.1446282863616943,,0.5829260949116428
CND1,iTransformer-small,SYG1_10MAG10CT104,#1 机凝汽器 I（低压）壳侧温度,℃,1,0.0202009677886962,,1.4464342043193417,,1.0947059392929075,,0.5769043703823795
DEA,ANN,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,3,-0.9879010121027628,0.524175728871515,0.824231304071701,0.1143601959600718,0.6343406836191813,0.08973595773360717,0.9996680331349254
DEA,ANN,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,3,-0.2803360621134439,0.18835209771418868,26.74595642580557,1.958082056624331,18.302090326944988,1.5009734731457312,0.439531849518648
DEA,ANN,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,3,-0.14926989873250324,0.21696452652767548,22.140812375519598,2.0478749734697055,14.309242884318033,1.5413201461367847,
DEA,ANN,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,3,-0.0996158719062805,0.21496416450340894,24.254762659591076,2.3310418116927396,16.318755785624187,1.86361128185735,0.46723950251291196
DEA,ANN,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,3,-0.15274258454640702,0.17883032497372373,22.585195899792875,1.721580047621099,15.29279867808024,1.018786500161539,0.4789587048660166
