device,tag,name_cn,load_band,samples,r2,rmse,mae,bias
DEA,SYG1_10LAA10CP101,#1 机除氧器压力 1,low_<400,4615,0.3970828056335449,0.04017990082502365,0.0311136431992054,-0.013722283765673637
DEA,SYG1_10LAA10CP101,#1 机除氧器压力 1,mid_400_700,29488,0.9304085001349449,0.018363473936915398,0.014211549423635006,-0.0002517077955417335
DEA,SYG1_10LAA10CP101,#1 机除氧器压力 1,high_>=700,9074,0.9340511783957481,0.018954433500766754,0.014447863213717937,0.008298009634017944
H1,SYG1_10LAB61CT101,#1 高压给水加热器出口温度,low_<400,4615,0.9857592349871993,0.8401960134506226,0.663996160030365,-0.21479862928390503
H1,SYG1_10LAB61CT101,#1 高压给水加热器出口温度,mid_400_700,29488,0.9908628119155765,0.6002217531204224,0.4715486764907837,-0.36612746119499207
H1,SYG1_10LAB61CT101,#1 高压给水加热器出口温度,high_>=700,9074,0.9832457359880209,0.6660448908805847,0.4760347604751587,0.14370383322238922
