stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9878926623837683,23,,0.9670138888888888,0.967122784904475,0.9670138888888888,0.9670054719754018
final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9878926623837683,23,,0.9513888888888888,0.9530096129360835,0.9513888888888888,0.9517372867624546
final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.9878926623837683,23,,0.4444444444444444,0.6812281508179892,0.4444444444444444,0.42742023536116336
