class,precision,recall,f1,support
F0正常,0.8333333333333334,0.8928571428571429,0.8620689655172413,140
F1通流侵蚀,0.8680555555555556,0.8928571428571429,0.8802816901408451,140
F2一级抽汽支路泄漏,0.9763779527559056,0.8857142857142857,0.9288389513108615,140
F3VHP汽封泄漏,0.920863309352518,0.9142857142857143,0.9175627240143369,140
