model,accuracy_mean,accuracy_std,macro_precision_mean,macro_recall_mean,macro_f1_mean,macro_f1_std
AE,0.3299999999999999,0.0135054788579921,0.3240901593550189,0.3299999999999999,0.2988202537442414,0.03077663453733
CNN,0.7267857142857143,0.0169407731794735,0.7345022407603744,0.7267857142857144,0.7277562201911438,0.017188083000078
Identity-Sensor,0.8903571428571428,0.0178839085122203,0.8940974262348576,0.8903571428571428,0.8911941429757251,0.017455692566536
Corr-Sensor,0.8885714285714286,0.0135761270062487,0.8921699355656809,0.8885714285714285,0.8891706165164214,0.013586528910306
KG-OrderedSensor,0.8950000000000001,0.0052671004299116,0.8986320261957875,0.8949999999999999,0.8957729958833991,0.005463257374782
