tag,name_cn,unit
SYG1_10LCA80CT101,#1 机 #6 低加出水温度,℃
SYG1_10LCA80CT102,#1 机除氧器进口凝结水温度,℃
SYG1_10LCC60CT101,#6 低压加热器疏水温度,℃
SYG1_10LCC60CL101,#6 低压加热器水位 1,mm
SYG1_10LCC60CL102,#6 低压加热器水位 2,mm
SYG1_10LCC60CL103,#6 低压加热器水位 3,mm
