epoch,full_train_loss,lr
1,1.0753231334967963,0.001
2,0.6757068994802101,0.001
3,0.47207881135030005,0.001
4,0.35681890611955414,0.001
5,0.28169722714827644,0.001
6,0.23177044385986126,0.001
7,0.1994813604993716,0.001
8,0.1790011892277263,0.001
9,0.1651677457546904,0.001
10,0.1551786677329958,0.001
11,0.14771758675338248,0.001
12,0.14149782034232453,0.001
13,0.1361631263322348,0.001
14,0.13169706264278042,0.001
15,0.12703497163458824,0.001
16,0.12310723486674213,0.001
17,0.11987969348773968,0.001
18,0.11650424026184886,0.001
19,0.11335932323961334,0.001
20,0.10992279635670497,0.001
21,0.10765106565066139,0.001
22,0.10480625252675176,0.001
23,0.10288943787501863,0.001
24,0.10035667611453881,0.001
25,0.09813408255229748,0.001
26,0.09624052252420824,0.001
27,0.09469185575474065,0.001
28,0.0920758121741118,0.001
29,0.09112558020522928,0.001
30,0.08890593848813835,0.001
31,0.08759903567690647,0.001
32,0.08527318581898902,0.001
33,0.08400741457328241,0.001
34,0.08258548832663797,0.001
35,0.08090829168970541,0.001
36,0.0796543961871125,0.001
37,0.07848444200713194,0.001
38,0.0770712710310686,0.001
39,0.0753210104780413,0.001
40,0.0746849879842781,0.001
41,0.07308167741072102,0.001
42,0.07243954033720616,0.001
43,0.07116987363207877,0.001
44,0.07055068343010128,0.001
45,0.06945793302967457,0.001
46,0.06863795249490297,0.001
47,0.06785781236501691,0.001
48,0.06700566037459245,0.001
49,0.06603254606949133,0.001
50,0.06512838913751244,0.001
51,0.06459039026262332,0.001
52,0.06353099770605103,0.001
53,0.06352040965666231,0.001
54,0.0621616305825659,0.001
55,0.06142881297053682,0.001
56,0.06142555152872529,0.001
57,0.060267684576041265,0.001
58,0.059830672690514314,0.001
59,0.05947045225520416,0.001
60,0.05900324829274003,0.001
61,0.05818324121747784,0.001
62,0.05828947878170431,0.001
63,0.05723126836950438,0.001
64,0.05670173804051858,0.001
65,0.05651519657628239,0.001
66,0.05612002469081815,0.001
67,0.05569861017411216,0.001
68,0.05507904766938562,0.001
69,0.05454261543115529,0.001
70,0.0543572618545502,0.001
71,0.05384555994511187,0.001
72,0.0537502158889251,0.001
73,0.05307501582182569,0.001
74,0.05312067698007536,0.001
75,0.05244212326837792,0.001
76,0.052301286694348824,0.001
77,0.05201166242668565,0.001
78,0.051856483269368175,0.001
79,0.05125383009048285,0.001
80,0.05090008347451165,0.001
81,0.050506326255672834,0.001
82,0.05022993407825638,0.001
83,0.04982386534093854,0.001
84,0.049600033335166875,0.001
85,0.049640374460732134,0.001
86,0.04932170151966443,0.001
87,0.049265805561046185,0.001
88,0.048974025631366234,0.001
89,0.04863941220111983,0.001
90,0.04823167613525109,0.001
91,0.04800373890537152,0.001
92,0.04771922182716299,0.001
93,0.04810076280101981,0.001
94,0.04751841217698624,0.001
95,0.04694453106220948,0.001
96,0.046898965884648175,0.001
97,0.0467912258679974,0.001
98,0.04689430734242904,0.001
99,0.04679417498092206,0.001
100,0.04647998979744695,0.001
101,0.04631325272653525,0.001
102,0.04636124356678399,0.001
103,0.04610365356697213,0.001
104,0.04559381756196088,0.001
105,0.04551092086322358,0.001
106,0.044997332529997124,0.001
107,0.044893721203573655,0.001
108,0.044949070008487316,0.001
109,0.04485149886199885,0.001
110,0.044712666010004766,0.001
111,0.04438618538718304,0.001
112,0.04412447800147893,0.001
113,0.04421270667879029,0.001
114,0.04418212888358106,0.001
115,0.04393321288583015,0.001
116,0.04355777769827255,0.001
117,0.04357744316412349,0.001
118,0.04347041959403616,0.001
119,0.04316193366364891,0.001
120,0.043296216834325364,0.001
121,0.04339661573912305,0.001
122,0.0432967913147995,0.001
123,0.04301952916142377,0.001
124,0.04308602879429888,0.001
125,0.04288364315801394,0.001
126,0.04274922767070269,0.001
127,0.042579017719001695,0.001
128,0.04216359140387894,0.001
129,0.0421313981595472,0.001
130,0.042204946761372764,0.001
131,0.041879590029152876,0.001
132,0.04203193207394434,0.001
133,0.04197845614517096,0.001
134,0.04163426284747514,0.001
135,0.04151731345485599,0.001
136,0.04172498416122801,0.001
137,0.041385170017407,0.001
138,0.04152870396543618,0.001
139,0.04151136853071055,0.001
140,0.04101760174354038,0.001
141,0.04114853172635187,0.001
142,0.04134397560617734,0.001
143,0.041054805589306846,0.001
144,0.04097370488427438,0.001
145,0.04059974863338973,0.001
146,0.040651565855779094,0.001
147,0.040511061232196076,0.001
148,0.040500745169181444,0.001
149,0.04038182366215844,0.001
150,0.04049051694117197,0.001
151,0.04042406054384971,0.001
152,0.0401971979500179,0.001
153,0.04009691533278023,0.001
154,0.04018379307675657,0.001
155,0.040337819569629264,0.001
156,0.04024264393829567,0.001
157,0.03972276055982282,0.0005
158,0.039946297463078574,0.0005
159,0.039429076150372645,0.0005
160,0.03952872471875763,0.0005
161,0.03928289902957626,0.0005
