model,seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,val_macro_f1_mean,val_macro_f1_std
nodeaware,3,0.9886904761904763,0.0010309826235529234,0.9886893153604048,0.0010359421960784545,0.9862186114380962,0.005199838229851143
dual_gap,3,0.6148809523809523,0.06124592170234745,0.6086171519101469,0.0645339619132677,0.5934431080732203,0.0658717251115923
yang_gap,3,0.5071428571428571,0.029396567202061307,0.49164430831136796,0.03124047940391234,0.45805459964658457,0.044605451603405795
