stage,model,seed,hidden,classifier_hidden,node_embed_dim,dropout,label_fraction,device,nodes,window,labeled_train_samples,pretrain_epoch,pretrain_val_mse,classifier_epoch,val_macro_f1,val_loss,accuracy,macro_precision,macro_recall,macro_f1,best_val_macro_f1
final,dual_gap,101,32,96,8,0.05,1.0,cuda,24.0,60.0,1712.0,39,0.3193836808204651,49,0.607833735985371,1.009719729423523,0.6428571428571429,0.6614511187543047,0.6428571428571429,0.6377369089756656,0.607833735985371
final,dual_gap,123,32,96,8,0.05,1.0,cuda,24.0,60.0,1712.0,29,0.3380884230136871,60,0.6509298359865672,0.952852427959442,0.6571428571428571,0.6693243732823275,0.6571428571428573,0.6534598158444987,0.6509298359865672
final,dual_gap,202,32,96,8,0.05,1.0,cuda,24.0,60.0,1712.0,35,0.3248021006584167,31,0.5215657522477226,1.11800217628479,0.5446428571428571,0.5444317248288433,0.5446428571428572,0.5346547309102762,0.5215657522477226
final,yang_gap,101,16,64,8,0.05,1.0,cuda,24.0,60.0,1712.0,39,0.4186435639858246,9,0.4121659944727389,1.2235215902328491,0.4892857142857142,0.4830872571736018,0.4892857142857143,0.4774501472320638,0.4121659944727389
final,yang_gap,123,16,64,8,0.05,1.0,cuda,24.0,60.0,1712.0,38,0.4305957853794098,40,0.460742465006222,1.1790978908538818,0.4910714285714285,0.4798784173912585,0.4910714285714286,0.4700209797866048,0.460742465006222
final,yang_gap,202,16,64,8,0.05,1.0,cuda,24.0,60.0,1712.0,39,0.4177232682704925,80,0.5012553394607928,1.114818453788757,0.5410714285714285,0.5383500489987831,0.5410714285714285,0.5274617979154353,0.5012553394607928
final,nodeaware,101,32,96,0,0.05,1.0,,,,,40,0.3392380177974701,9,,,0.9875,0.9875490221625778,0.9875,0.9874931207624048,0.98921364096896
final,nodeaware,123,32,96,0,0.05,1.0,,,,,39,0.3341516256332397,9,,,0.9892857142857144,0.989383804601196,0.9892857142857144,0.9892912980683504,0.9802143610249296
final,nodeaware,202,32,96,0,0.05,1.0,,,,,39,0.3428176343441009,20,,,0.9892857142857144,0.9894812091503268,0.9892857142857144,0.9892835272504592,0.9892278323203988
