device,model,graph,test,seeds,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
BFPT,AE,KG,iid,3,0.9461805555555557,0.010560351615101117,0.9472302082198087,0.009933805514706398,0.9461805555555555,0.010560351615100994,0.9463563166108848,0.010480246124360833
BFPT,AE,KG,ood_profile,3,0.8206018518518517,0.04013133899904119,0.8702735292588731,0.01849571878687406,0.8206018518518517,0.04013133899904126,0.8282964701978908,0.03824256756262009
BFPT,AE,KG,weak,3,0.495949074074074,0.025298024299067568,0.7462983797175061,0.010563194951687121,0.4959490740740741,0.025298024299067634,0.49944372180158186,0.029610095154066738
BFPT,CNN,KG,iid,3,0.9525462962962963,0.0020046884346862576,0.9536132335040026,0.0012986692134811077,0.9525462962962963,0.0020046884346861613,0.952613620229647,0.001798957740583741
BFPT,CNN,KG,ood_profile,3,0.9027777777777777,0.001736111111111091,0.9124463333456418,0.004944408237256982,0.9027777777777778,0.0017361111111110078,0.9046603743078213,0.002398366481681455
BFPT,CNN,KG,weak,3,0.39409722222222227,0.030861786171234654,0.6843181423645944,0.018502647069114548,0.39409722222222215,0.030861786171234737,0.36420188699723344,0.046380473323671595
BFPT,GCN-NodeAware,Corr,iid,3,0.9641203703703703,0.0010023442173431288,0.9651754286889545,0.0012082675229860662,0.9641203703703706,0.0010023442173431847,0.9642798435359504,0.0010157128745957426
BFPT,GCN-NodeAware,Corr,ood_profile,3,0.8506944444444445,0.03158577326156295,0.8921522273848189,0.012877060074053157,0.8506944444444443,0.03158577326156287,0.8561742889637102,0.02997481528997645
BFPT,GCN-NodeAware,Corr,weak,3,0.38773148148148145,0.02432621476502746,0.7359126210937412,0.009730021732615113,0.38773148148148145,0.02432621476502746,0.3505578860756857,0.038618815803367026
BFPT,GCN-NodeAware,Identity,iid,3,0.9652777777777777,0.0030070326520292502,0.9655032443087165,0.002948210183724864,0.9652777777777778,0.003007032652029274,0.9652825270054057,0.0030211877514751003
BFPT,GCN-NodeAware,Identity,ood_profile,3,0.8726851851851851,0.03473668680198823,0.8964916344174071,0.021720205726618327,0.8726851851851851,0.03473668680198819,0.8757191853316307,0.034515902464820426
BFPT,GCN-NodeAware,Identity,weak,3,0.4166666666666667,0.013559461242893459,0.7274967135442157,0.011563379715877804,0.4166666666666667,0.013559461242893459,0.3919626061970319,0.01496442596221854
BFPT,GCN-NodeAware,KG,iid,3,0.9600694444444445,0.004593318248376046,0.9606241161267981,0.00443090515895383,0.9600694444444445,0.004593318248376046,0.9600345568587144,0.0046644016740009205
BFPT,GCN-NodeAware,KG,ood_profile,3,0.8703703703703703,0.024572770538845132,0.8974162999868586,0.00813641519547185,0.8703703703703703,0.02457277053884514,0.8749468729110021,0.02229775002681933
BFPT,GCN-NodeAware,KG,weak,3,0.3993055555555556,0.036458333333333315,0.7144159514252145,0.020150798125798473,0.3993055555555556,0.036458333333333315,0.37090998414691206,0.05837820790477418
CND1,AE,KG,iid,3,0.9548611111111112,0.010416666666666713,0.9560982034998605,0.009641447260056545,0.9548611111111112,0.010416666666666713,0.9548159463850677,0.010383417896728702
CND1,AE,KG,ood_profile,3,0.8981481481481483,0.005303907054346997,0.8998483065139187,0.006498638794805424,0.8981481481481483,0.005303907054346982,0.8983766464601669,0.005566941136995751
CND1,AE,KG,weak,3,0.4525462962962963,0.01476545234047809,0.640558999365959,0.030734918468119442,0.4525462962962963,0.01476545234047805,0.4412562446175606,0.018976396492888643
CND1,CNN,KG,iid,3,0.9820601851851851,0.005011721086715507,0.9822008976710269,0.004900935019218759,0.9820601851851852,0.0050117210867153955,0.9820622604719559,0.005009923598701188
CND1,CNN,KG,ood_profile,3,0.9317129629629629,0.011817464037420202,0.9408002778984607,0.0058791934092004075,0.9317129629629629,0.011817464037420213,0.9317342624832294,0.011368628321518167
CND1,CNN,KG,weak,3,0.39872685185185186,0.02357107853520403,0.6291390182940828,0.00970941094539416,0.3987268518518518,0.023571078535204133,0.3514851413194826,0.036404966442698854
CND1,GCN-NodeAware,Corr,iid,3,0.9733796296296297,0.004369117150040958,0.974035364299,0.004229861741815327,0.9733796296296297,0.004369117150040958,0.9734286386308897,0.004405477851826175
CND1,GCN-NodeAware,Corr,ood_profile,3,0.8385416666666666,0.0482376527411451,0.8728216779841774,0.02129319649890379,0.8385416666666666,0.0482376527411451,0.8422138572187124,0.04542942584570837
CND1,GCN-NodeAware,Corr,weak,3,0.3396990740740741,0.014765452340478085,0.5821307409078104,0.02367073208774489,0.339699074074074,0.014765452340478056,0.27407904353458773,0.027185894378297208
CND1,GCN-NodeAware,Identity,iid,3,0.96875,0.007567532888091503,0.9692219251434172,0.007074864910407235,0.96875,0.0075675328880913505,0.9687398904821783,0.007529274447573111
CND1,GCN-NodeAware,Identity,ood_profile,3,0.8396990740740741,0.00956175442237171,0.8680048720334023,0.011651832451664691,0.8396990740740741,0.009561754422371642,0.8424499056601036,0.010278830238766717
CND1,GCN-NodeAware,Identity,weak,3,0.31597222222222227,0.011384441882468711,0.547885005238563,0.022653507020055332,0.3159722222222222,0.011384441882468765,0.23387977992242392,0.020978401516388138
CND1,GCN-NodeAware,KG,iid,3,0.9739583333333334,0.007567532888091436,0.9744457808677804,0.007340999882424635,0.9739583333333334,0.007567532888091436,0.9739719819167592,0.007627907606004553
CND1,GCN-NodeAware,KG,ood_profile,3,0.8495370370370371,0.011817464037420239,0.876864430728094,0.013796936981571315,0.8495370370370371,0.011817464037420214,0.8525194705260959,0.012377478026082822
CND1,GCN-NodeAware,KG,weak,3,0.36863425925925924,0.0026519535271735317,0.6026464151574941,0.011862216499995524,0.3686342592592593,0.0026519535271734983,0.3170241817213764,0.004303510697444951
H1,AE,KG,iid,3,0.9479166666666666,0.006259637631013891,0.9493029963776362,0.006671989926704053,0.9479166666666666,0.006259637631013891,0.9482524573667527,0.006386050182976043
H1,AE,KG,ood_profile,3,0.9068287037037037,0.009871945665064783,0.9177241206922114,0.008442051414989177,0.9068287037037037,0.009871945665064814,0.9081396254192526,0.00974626749190638
H1,AE,KG,weak,3,0.47222222222222227,0.006259637631013873,0.7264584504169687,0.014572959832851172,0.47222222222222215,0.0062596376310139175,0.46793478189073295,0.008751668883884269
H1,CNN,KG,iid,3,0.9519675925925926,0.003614003471295392,0.953068207181485,0.0044270778422174795,0.9519675925925927,0.0036140034712953076,0.95219812471479,0.0037911292253022394
H1,CNN,KG,ood_profile,3,0.9415509259259259,0.007228006942590726,0.9437780613451747,0.007626695250031701,0.9415509259259259,0.007228006942590731,0.9420578230681108,0.007273253199937462
H1,CNN,KG,weak,3,0.4681712962962963,0.02937740774652098,0.7313691276887359,0.018911556773975918,0.4681712962962963,0.02937740774652094,0.4596987918635069,0.037133681042753754
H1,GCN-NodeAware,Corr,iid,3,0.9537037037037037,0.005011721086715507,0.9540008339378105,0.0044168425668393895,0.9537037037037037,0.005011721086715507,0.9537405409893589,0.004799946920647076
H1,GCN-NodeAware,Corr,ood_profile,3,0.9369212962962963,0.002651953527173567,0.9380101002502562,0.002015729581715857,0.9369212962962962,0.0026519535271736093,0.9372448215212096,0.0024330995932419306
H1,GCN-NodeAware,Corr,weak,3,0.46875,0.04241941570441186,0.7038440757849092,0.011556043143745483,0.46875,0.04241941570441186,0.4624725051820053,0.05440529498461692
H1,GCN-NodeAware,Identity,iid,3,0.9548611111111112,0.0034722222222222376,0.9552369915668355,0.0033055978440945564,0.9548611111111112,0.003472222222222404,0.9549548364661865,0.003464169231542156
H1,GCN-NodeAware,Identity,ood_profile,3,0.9380787037037037,0.0072280069425907575,0.9392831651050105,0.006785375385024246,0.9380787037037037,0.0072280069425907575,0.9384016718759608,0.007072563288347718
H1,GCN-NodeAware,Identity,weak,3,0.4537037037037037,0.026003057799376117,0.7105868287896282,0.013288234558174995,0.45370370370370366,0.02600305779937617,0.4446347697015957,0.033187247506814115
