stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9688668086855964,13,0.739403486251831,0.9565972222222222,0.9579027521579458,0.9565972222222222,0.9568587403036226
final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9688668086855964,13,0.739403486251831,0.9357638888888888,0.9388584793333861,0.9357638888888888,0.9365098202531464
final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9688668086855964,13,0.739403486251831,0.4427083333333333,0.7345668027081751,0.4427083333333333,0.4282785217926728
