,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,130,10,4,0
F1_H1换热能力下降,6,138,0,0
F2_H1汽侧泄漏,5,1,138,0
F3_H1水位过高,0,2,0,142
