,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,130,10,2,2
F1_BFPT进汽不足,4,139,0,1
F2_BFPT排汽真空恶化,10,4,130,0
F3_BFPT调速异常,22,2,0,120
