,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,137,5,0,2
F1_BFPT进汽不足,14,129,1,0
F2_BFPT排汽真空恶化,13,1,130,0
F3_BFPT调速异常,16,3,0,125
