stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9775531591983451,7,,0.9513888888888888,0.9539523488099603,0.9513888888888888,0.9518597856413216
final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9775531591983451,7,,0.9045138888888888,0.9181280251311102,0.9045138888888888,0.907134099978438
final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9775531591983451,7,,0.3697916666666667,0.7052768544621231,0.36979166666666663,0.3254079559057188
