,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,129,8,1,6
F1_BFPT进汽不足,12,130,2,0
F2_BFPT排汽真空恶化,8,2,133,1
F3_BFPT调速异常,16,0,0,128
