,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,137,5,0,2
F1_BFPT进汽不足,121,22,1,0
F2_BFPT排汽真空恶化,103,4,36,1
F3_BFPT调速异常,126,0,0,18
