,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,130,10,2,2
F1_BFPT进汽不足,1,143,0,0
F2_BFPT排汽真空恶化,2,0,142,0
F3_BFPT调速异常,11,0,0,133
