,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,130,10,2,2
F1_BFPT进汽不足,104,39,1,0
F2_BFPT排汽真空恶化,102,10,32,0
F3_BFPT调速异常,118,6,0,20
