stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,AE,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9584215431954795,15,0.2976782023906708,0.9600694444444444,0.9611046048925977,0.9600694444444444,0.9601220940947748
final,AE,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9584215431954795,15,0.2976782023906708,0.9340277777777778,0.939484513243975,0.9340277777777778,0.9343037122085806
final,AE,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9584215431954795,15,0.2976782023906708,0.4496527777777778,0.6835210104701005,0.4496527777777778,0.4297901310729627
