,F0_normal,F1_L6换热能力下降,F2_L6汽侧供汽不足,F3_L6水位过高
F0_normal,134,3,7,0
F1_L6换热能力下降,9,134,1,0
F2_L6汽侧供汽不足,10,1,133,0
F3_L6水位过高,5,2,0,137
