,F0_normal,F1_L6换热能力下降,F2_L6汽侧供汽不足,F3_L6水位过高
F0_normal,138,3,2,1
F1_L6换热能力下降,4,140,0,0
F2_L6汽侧供汽不足,8,4,132,0
F3_L6水位过高,1,0,0,143
