,F0_normal,F1_L6换热能力下降,F2_L6汽侧供汽不足,F3_L6水位过高
F0_normal,138,1,4,1
F1_L6换热能力下降,13,130,1,0
F2_L6汽侧供汽不足,14,3,127,0
F3_L6水位过高,3,2,0,139
