,F0_normal,F1_L6换热能力下降,F2_L6汽侧供汽不足,F3_L6水位过高
F0_normal,138,1,4,1
F1_L6换热能力下降,91,39,12,2
F2_L6汽侧供汽不足,114,3,26,1
F3_L6水位过高,86,2,0,56
